ip,country,region,city,org,asn,hostname,loc,lat,lon,status,fail_count,occ_count,first_seen,last_seen,mean_interarrival,unique_ports,unique_usernames,classification
140.249.81.156,,,,,,,,,,200,41,86,2025-10-18T10:48:06+07:00,2025-10-18T11:05:05+07:00,11.988235294117647,31,12,other
124.221.16.51,,,,,,,,,,200,9,29,2025-10-18T10:49:55+07:00,2025-10-18T11:06:54+07:00,36.392857142857146,17,3,other
147.185.132.51,,,,,,,,,,200,0,1,2025-10-18T11:03:29+07:00,2025-10-18T11:03:29+07:00,,1,0,other
80.94.93.176,,,,,,,,,,200,0,4,2025-10-18T11:06:43+07:00,2025-10-18T15:48:40+07:00,5639.0,4,0,other
193.46.255.7,,,,,,hostingmailto221.statics.servermail.org,,,,200,0,3,2025-10-18T11:06:50+07:00,2025-10-18T12:02:48+07:00,1679.0,3,0,other
1.71.54.169,,,,,,,,,,200,72,130,2025-10-18T11:08:58+07:00,2025-10-18T11:44:37+07:00,16.58139534883721,30,17,bruteforce
23.94.84.109,,,,,,23-94-84-109-host.colocrossing.com,,,,200,87,151,2025-10-18T11:09:18+07:00,2025-10-18T11:50:04+07:00,16.30666666666667,32,23,bruteforce
209.141.57.124,,,,,,,,,,200,87,151,2025-10-18T11:09:28+07:00,2025-10-18T12:08:40+07:00,23.68,32,23,bruteforce
14.103.170.236,,,,,,,,,,200,0,1,2025-10-18T11:13:43+07:00,2025-10-18T11:13:43+07:00,,1,0,other
80.94.93.233,,,,,,,,,,200,0,6,2025-10-18T11:23:38+07:00,2025-10-18T14:52:54+07:00,2511.2,6,0,other
193.46.255.103,,,,,,hostingmailto005.statics.servermail.org,,,,200,0,9,2025-10-18T11:35:00+07:00,2025-10-18T16:50:03+07:00,2362.875,9,0,other
57.132.175.132,,,,,,57-132-175-132.dyn.grandenetworks.net,,,,200,0,1,2025-10-18T11:38:32+07:00,2025-10-18T11:38:32+07:00,,1,0,other
179.33.186.151,,,,,,,,,,200,94,158,2025-10-18T11:48:23+07:00,2025-10-18T12:38:03+07:00,18.980891719745223,32,24,bruteforce
193.46.255.33,,,,,,hostingmailto181.statics.servermail.org,,,,200,0,2,2025-10-18T11:49:37+07:00,2025-10-18T13:59:00+07:00,7763.0,2,0,other
